channel,priority
epoddubny,1.0
cmiye,1.0
OkoloBaikala,1.0
wargonzo,1.0
krispotupchik ,1.0
gazetaru,1.0
spbformat,1.0
kremlinprachka ,1.0
navideovidno,1.0
pezdicide,1.0
ShlyapaChelentano,1.0
niemandswasser,1.0
Buddykiton,1.0
riafan,1.0
Ten_NaPleten,1.0
chergovii,1.0
vmarahovsky,1.0
swodki,1.0
akimapache,1.0
neoficialniybezsonov,1.0
chp_show,1.0
SIL0VIKI,1.0
orfosvinstvo,1.0
holmogortalks,1.0
TanyaButskaya,1.0
evgenyprimakov,1.0
LastOfRus,1.0
fcpeshka,1.0
vladlentatarsky,1.0
NovostiDamask,1.0
Doninside,1.0
RU_S_INT,1.0
dr_alex_sosnowski,1.0
rasstrelny ,1.0
wargonzo ,1.0
kononenkome,1.0
mediasrachi3,1.0
EvPanina,1.0
vorposte,1.0
sex_drugs_kahlo,1.0
SolovievLive,1.0
anti_navalny,1.0
krimski,1.0
bydrbre,1.0
ukraina_ru,1.0
krasniydom,1.0
hackberegini,1.0
ghost_of_novorossia,1.0
faceofwar,1.0
annashafran,1.0
newswash,1.0
vybora,1.0
go338,1.0
bomsclaim,1.0
wtyhe2375,1.0
theshard18,1.0
dnepr_partizani,1.0
vashi_slivy,1.0
carbatushka,1.0
Ludazhor,1.0
Tcount_Muravile,1.0
zheltyeslivy,1.0
omonby,1.0
glav_tur,1.0
lebedevalive,1.0
sbbytoday,1.0
mpavda,1.0
mlynby,1.0
gubopRB,1.0
Azarenok_TV,1.0
ATN_BTRC,1.0
belta_telegramm,1.0
pul_1,1.0
boomsclaymor,1.0
istorijaoruzija,1.0
go338и,1.0
tgrussia,1.0
sputniklive ,1.0
kremlin_mother_expert ,0.0
kozakrichala ,0.0
Hinshtein ,0.0
ctrs2018 ,0.0
politjoystic ,0.0
vchkogpu ,0.0
nevminkult ,0.0
sebestoimost ,0.0
minpunch ,0.0
tlgrm_management,0.0
RealSardana,0.0
nadzornaya,0.0
nechaev_official,0.0
Insiderchronicle,0.0
timesru,0.0
bigelectionnight,0.0
vovknn,0.0
retailerswift,0.0
moskva_tretiy_rim,0.0
DtRoad,0.0
otmorozzhennie,0.0
edstats,0.0
smart_urban,0.0
Jelezobetonniyzames,0.0
fourthrepublic,0.0
Easternchurch,0.0
spetsdor,0.0
sp_1703,0.0
schumpeterwontlike,0.0
odnako_s,0.0
platonsystem,0.0
daydaynews,0.0
DetiSorosa,0.0
pzdcofficial,0.0
NewFBK,0.0
energytodaygroup,0.0
mytusovka,0.0
good_events_russia,0.0
energyfromwaste,0.0
blackponed,0.0
MoscowEcon,0.0
zebratv,0.0
Murmansk_insaid,0.0
xsport24,0.0
okobyakova,0.0
dailymoscowru,0.0
tv360,0.0
mantootime,0.0
